price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,direction,street_in_front_of_house,width,city,district
1.38,28.0,1.0,2.0,False,False,False,False,Nhà trong hẻm,Đông Nam,5.0,4.0,Hồ Chí Minh,Nội thành
3.2,45.0,3.0,4.0,False,False,False,True,Nhà trong hẻm,None,4.0,5.0,Hồ Chí Minh,Nội thành
3.35,42.0,5.0,7.0,True,True,True,False,Nhà trong hẻm,None,3.0,4.0,Hà Nội,Nội thành
4.0,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,10.0,5.5,Hồ Chí Minh,Nội thành
1.44,56.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
11.0,68.0,3.0,3.0,False,False,False,False,Nhà mặt tiền,None,12.0,6.5,Hà Nội,Ngoại thành
1.42,58.0,2.0,3.0,False,False,False,False,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
3.45,60.0,3.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,4.0,Hồ Chí Minh,Nội thành
3.5,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,12.0,5.0,Hồ Chí Minh,Nội thành
4.25,90.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,12.0,6.0,Hồ Chí Minh,Nội thành
3.45,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,8.0,5.0,Hồ Chí Minh,Nội thành
6.4,70.0,4.0,4.0,False,False,False,False,Nhà trong hẻm,None,3.0,5.0,Hồ Chí Minh,Nội thành
2.35,52.0,3.0,5.0,False,False,True,False,Nhà trong hẻm,None,6.0,4.0,Hồ Chí Minh,Ngoại thành
5.0,40.0,2.0,2.0,True,True,True,True,Nhà mặt tiền,None,8.0,6.0,Hà Nội,Nội thành
1.269,54.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,None,3.5,4.447257932086094,Hồ Chí Minh,Nội thành
4.25,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
4.25,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,7.0,4.0,Hồ Chí Minh,Nội thành
3.75,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,4.0,Hồ Chí Minh,Nội thành
3.25,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,5.0,4.0,Hồ Chí Minh,Nội thành
4.25,80.0,2.0,4.0,True,True,True,True,Nhà mặt tiền,None,6.0,4.0,Hồ Chí Minh,Nội thành
5.2,54.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,None,4.0,4.0,Hồ Chí Minh,Nội thành
6.65,84.0,3.0,3.0,True,True,True,True,Nhà trong hẻm,None,5.0,4.0,Hồ Chí Minh,Nội thành
1.3,60.0,1.0,2.0,False,False,False,False,Nhà mặt tiền,None,4.0,4.447257932086094,Hồ Chí Minh,Nội thành
4.4,43.0,5.0,6.0,False,False,False,False,Nhà trong hẻm,None,10.0,3.8,Hà Nội,Nội thành
